date,time,channel,text,media_url,status,product,image_prompt
2026-06-22,09:00,Instagram - Eso Es,"Something new is coming. Stay close. 👀

#EsoEs #ComingSoon #CoffeeDrop #Leak",,Image Needed,Brand,"Dark teaser graphic. Blurred product silhouette. Question mark or shadow. High intrigue."
2026-06-22,09:00,Facebook - Eso Es,"Something new is coming. Stay close. 👀

#EsoEs #ComingSoon #CoffeeDrop #Leak",,Image Needed,Brand,"Dark teaser graphic. Blurred product silhouette. Question mark or shadow. High intrigue."
2026-06-23,09:00,Instagram - Eso Es,"One sip. That's all it takes. Gotcha. ☕

#Gotcha #EsoEs #FirstSip #CoffeeCulture",,Image Needed,Gotcha,"Close-up espresso pour or sip moment. Steam rising. Gotcha text overlay. Dark dramatic light."
2026-06-23,09:00,Facebook - Eso Es,"One sip. That's all it takes. Gotcha. ☕

#Gotcha #EsoEs #FirstSip #CoffeeCulture",,Image Needed,Gotcha,"Close-up espresso pour or sip moment. Steam rising. Gotcha text overlay. Dark dramatic light."
2026-06-24,09:00,Instagram - Eso Es,"Wednesday check in: WSUP? ✌️

#WSUP #EsoEs #Midweek #WednesdayVibes",,Image Needed,WSUP,"WSUP flat lay. Casual midweek energy. Warm natural light. Relaxed but intentional."
2026-06-24,09:00,Facebook - Eso Es,"Wednesday check in: WSUP? ✌️

#WSUP #EsoEs #Midweek #WednesdayVibes",,Image Needed,WSUP,"WSUP flat lay. Casual midweek energy. Warm natural light. Relaxed but intentional."
2026-06-25,09:00,Instagram - Eso Es,"Froth it. Mean it. 🥛

#Frother #EsoEs #MilkFrother #HomeCafé",,Image Needed,Frother,"Frother in action. Milk foam close-up. Warm kitchen light. Rich texture visible."
2026-06-25,09:00,Facebook - Eso Es,"Froth it. Mean it. 🥛

#Frother #EsoEs #MilkFrother #HomeCafé",,Image Needed,Frother,"Frother in action. Milk foam close-up. Warm kitchen light. Rich texture visible."
2026-06-26,09:00,Instagram - Eso Es,"End of week, start of something good. Eso Es. 🖤

#EsoEs #FridayFeeling #WeekendCoffee #Local",,Image Needed,Brand,"End-of-week energy. Group or street scene with product. Warm golden hour tones."
2026-06-26,09:00,Facebook - Eso Es,"End of week, start of something good. Eso Es. 🖤

#EsoEs #FridayFeeling #WeekendCoffee #Local",,Image Needed,Brand,"End-of-week energy. Group or street scene with product. Warm golden hour tones."
2026-06-29,09:00,Instagram - Eso Es,"Not your average coffee brand. 🖤

#EsoEs #CoffeeNotCoffee #DifferentByDesign #Brand",,Image Needed,Brand,"Side-by-side: ordinary coffee vs Eso Es. Bold contrast. Clean layout. Statement energy."
2026-06-29,09:00,Facebook - Eso Es,"Not your average coffee brand. 🖤

#EsoEs #CoffeeNotCoffee #DifferentByDesign #Brand",,Image Needed,Brand,"Side-by-side: ordinary coffee vs Eso Es. Bold contrast. Clean layout. Statement energy."
2026-06-30,09:00,Instagram - Eso Es,"The element of surprise, bottled. Gotcha by Eso Es. ☕

#Gotcha #EsoEs #Surprise #CoffeeGame",,Image Needed,Gotcha,"Gotcha product popping out of a bag or box. Surprise reveal angle. Playful energy."
2026-06-30,09:00,Facebook - Eso Es,"The element of surprise, bottled. Gotcha by Eso Es. ☕

#Gotcha #EsoEs #Surprise #CoffeeGame",,Image Needed,Gotcha,"Gotcha product popping out of a bag or box. Surprise reveal angle. Playful energy."
2026-07-01,09:00,Instagram - Eso Es,"Your mornings just got sorted. WSUP by Eso Es.

#WSUP #EsoEs #MorningSorted #CoffeeRoutine",,Image Needed,WSUP,"Morning routine flat lay. WSUP product as hero item. Coffee, phone, keys. Clean tabletop."
2026-07-01,09:00,Facebook - Eso Es,"Your mornings just got sorted. WSUP by Eso Es.

#WSUP #EsoEs #MorningSorted #CoffeeRoutine",,Image Needed,WSUP,"Morning routine flat lay. WSUP product as hero item. Coffee, phone, keys. Clean tabletop."
2026-07-02,09:00,Instagram - Eso Es,"Ripple — every morning a little different. 🌊

#Ripple #EsoEs #MorningRipple #CoffeeMood",,Image Needed,Ripple,"Ripple product with water droplet or ripple effect overlay. Clean and graphic. Brand colours."
2026-07-02,09:00,Facebook - Eso Es,"Ripple — every morning a little different. 🌊

#Ripple #EsoEs #MorningRipple #CoffeeMood",,Image Needed,Ripple,"Ripple product with water droplet or ripple effect overlay. Clean and graphic. Brand colours."
2026-07-03,09:00,Instagram - Eso Es,"Behind every Eso Es product is a story. Come find ours. 🖤

#EsoEs #OurStory #Founder #LocalBrand",,Image Needed,Brand,"Founder working or behind the scenes. Raw, authentic. Not polished. Real environment."
2026-07-03,09:00,Facebook - Eso Es,"Behind every Eso Es product is a story. Come find ours. 🖤

#EsoEs #OurStory #Founder #LocalBrand",,Image Needed,Brand,"Founder working or behind the scenes. Raw, authentic. Not polished. Real environment."
2026-07-06,09:00,Instagram - Eso Es,"Built different. By design. 🖤

#EsoEs #BuiltDifferent #ByDesign #CoffeeBrand",,Image Needed,Brand,"Abstract Eso Es logo treatment. Bold geometry. Dark background. Statement typography."
2026-07-06,09:00,Facebook - Eso Es,"Built different. By design. 🖤

#EsoEs #BuiltDifferent #ByDesign #CoffeeBrand",,Image Needed,Brand,"Abstract Eso Es logo treatment. Bold geometry. Dark background. Statement typography."
2026-07-07,09:00,Instagram - Eso Es,"You weren't ready. Gotcha. ☕

#Gotcha #EsoEs #Unexpected #CoffeeAlert",,Image Needed,Gotcha,"Reaction shot concept — surprised face or dropped jaw. Gotcha logo large. Fun energy."
2026-07-07,09:00,Facebook - Eso Es,"You weren't ready. Gotcha. ☕

#Gotcha #EsoEs #Unexpected #CoffeeAlert",,Image Needed,Gotcha,"Reaction shot concept — surprised face or dropped jaw. Gotcha logo large. Fun energy."
2026-07-08,09:00,Instagram - Eso Es,"Early starter or slow mornings — WSUP has you. 💪

#WSUP #EsoEs #EarlyMorning #SlowMorning",,Image Needed,WSUP,"Split image — early gym vs slow Sunday bed. WSUP logo centred. Both moods served."
2026-07-08,09:00,Facebook - Eso Es,"Early starter or slow mornings — WSUP has you. 💪

#WSUP #EsoEs #EarlyMorning #SlowMorning",,Image Needed,WSUP,"Split image — early gym vs slow Sunday bed. WSUP logo centred. Both moods served."
2026-07-09,09:00,Instagram - Eso Es,"Café-quality froth at home. No excuses. 🥛

#Frother #EsoEs #HomeCafé #FrothGoals",,Image Needed,Frother,"Latte art or frothed milk in a home mug. Frother product beside it. Aspirational but real."
2026-07-09,09:00,Facebook - Eso Es,"Café-quality froth at home. No excuses. 🥛

#Frother #EsoEs #HomeCafé #FrothGoals",,Image Needed,Frother,"Latte art or frothed milk in a home mug. Frother product beside it. Aspirational but real."
2026-07-10,09:00,Instagram - Eso Es,"Made here. Meant for everywhere. Eso Es. 🇦🇺

#EsoEs #MadeHere #AustraliaMade #CoffeeForAll",,Image Needed,Brand,"Map graphic or Australian reference. Eso Es product over it. Pride and scale energy."
2026-07-10,09:00,Facebook - Eso Es,"Made here. Meant for everywhere. Eso Es. 🇦🇺

#EsoEs #MadeHere #AustraliaMade #CoffeeForAll",,Image Needed,Brand,"Map graphic or Australian reference. Eso Es product over it. Pride and scale energy."
2026-07-13,09:00,Instagram - Eso Es,"Eso Es. The name says it all. 🖤

#EsoEs #TheNameSaysItAll #CoffeeIdentity #Brand",,Image Needed,Brand,"Typography-led post. Eso Es in large bold type. Translated meaning as subtext. Minimal."
2026-07-13,09:00,Facebook - Eso Es,"Eso Es. The name says it all. 🖤

#EsoEs #TheNameSaysItAll #CoffeeIdentity #Brand",,Image Needed,Brand,"Typography-led post. Eso Es in large bold type. Translated meaning as subtext. Minimal."
2026-07-14,09:00,Instagram - Eso Es,"Bold. Unexpected. Gotcha. ☕

#Gotcha #EsoEs #Bold #CoffeeBold",,Image Needed,Gotcha,"Bold graphic — Gotcha text at maximum scale. Minimal product. Maximum confidence."
2026-07-14,09:00,Facebook - Eso Es,"Bold. Unexpected. Gotcha. ☕

#Gotcha #EsoEs #Bold #CoffeeBold",,Image Needed,Gotcha,"Bold graphic — Gotcha text at maximum scale. Minimal product. Maximum confidence."
2026-07-15,09:00,Instagram - Eso Es,"WSUP: Because mornings should work for you.

#WSUP #EsoEs #MorningRoutine #WorkForYou",,Image Needed,WSUP,"Product beside a morning planner or to-do list. Organised energy. Clean light."
2026-07-15,09:00,Facebook - Eso Es,"WSUP: Because mornings should work for you.

#WSUP #EsoEs #MorningRoutine #WorkForYou",,Image Needed,WSUP,"Product beside a morning planner or to-do list. Organised energy. Clean light."
2026-07-16,09:00,Instagram - Eso Es,"Ripple — the coffee that keeps moving. 🌊

#Ripple #EsoEs #KeepMoving #CoffeeFlow",,Image Needed,Ripple,"Dynamic ripple product shot. Motion blur or layered effect. Energy and movement."
2026-07-16,09:00,Facebook - Eso Es,"Ripple — the coffee that keeps moving. 🌊

#Ripple #EsoEs #KeepMoving #CoffeeFlow",,Image Needed,Ripple,"Dynamic ripple product shot. Motion blur or layered effect. Energy and movement."
2026-07-17,09:00,Instagram - Eso Es,"Friday feeling powered by Eso Es. 🙌

#EsoEs #FridayFuelled #WeekendReady #CoffeePowered",,Image Needed,Brand,"Celebration moment. Product in hand, high energy. Friday light. Authentic smile."
2026-07-17,09:00,Facebook - Eso Es,"Friday feeling powered by Eso Es. 🙌

#EsoEs #FridayFuelled #WeekendReady #CoffeePowered",,Image Needed,Brand,"Celebration moment. Product in hand, high energy. Friday light. Authentic smile."
2026-07-20,09:00,Instagram - Eso Es,"Leak: something big is brewing at Eso Es. 👀

#EsoEs #Leak #ComingNext #CoffeeDrop",,Image Needed,Brand,"Dark teaser. Partial product reveal. Heavy shadow. Curiosity and anticipation."
2026-07-20,09:00,Facebook - Eso Es,"Leak: something big is brewing at Eso Es. 👀

#EsoEs #Leak #ComingNext #CoffeeDrop",,Image Needed,Brand,"Dark teaser. Partial product reveal. Heavy shadow. Curiosity and anticipation."
2026-07-21,09:00,Instagram - Eso Es,"Gotcha again. ☕ #noregrets

#Gotcha #EsoEs #NoRegrets #CoffeeAgain",,Image Needed,Gotcha,"Second empty cup or repeat purchase visual. Humour. No regrets energy. Light tone."
2026-07-21,09:00,Facebook - Eso Es,"Gotcha again. ☕ #noregrets

#Gotcha #EsoEs #NoRegrets #CoffeeAgain",,Image Needed,Gotcha,"Second empty cup or repeat purchase visual. Humour. No regrets energy. Light tone."
2026-07-22,09:00,Instagram - Eso Es,"The last Wednesday excuse. WSUP sorted your mornings. 💪

#WSUP #EsoEs #NoMoreExcuses #MorningWin",,Image Needed,WSUP,"Before/after concept. Tired morning vs powered morning. WSUP as the turning point."
2026-07-22,09:00,Facebook - Eso Es,"The last Wednesday excuse. WSUP sorted your mornings. 💪

#WSUP #EsoEs #NoMoreExcuses #MorningWin",,Image Needed,WSUP,"Before/after concept. Tired morning vs powered morning. WSUP as the turning point."
2026-07-23,09:00,Instagram - Eso Es,"Upgrade your ritual. Eso Es Frother. 🥛

#Frother #EsoEs #UpgradeYourRitual #CoffeeRitual",,Image Needed,Frother,"Ritual flat lay. Frother, quality milk, good mug. Morning ceremony feel. Quiet luxury."
2026-07-23,09:00,Facebook - Eso Es,"Upgrade your ritual. Eso Es Frother. 🥛

#Frother #EsoEs #UpgradeYourRitual #CoffeeRitual",,Image Needed,Frother,"Ritual flat lay. Frother, quality milk, good mug. Morning ceremony feel. Quiet luxury."
2026-07-24,09:00,Instagram - Eso Es,"This started local. It won't stay that way. Eso Es. 🖤

#EsoEs #LocalToGlobal #AustraliaCoffee #Watch",,Image Needed,Brand,"Map or expansion graphic. Local pins radiating outward. Bold brand statement overlay."
2026-07-24,09:00,Facebook - Eso Es,"This started local. It won't stay that way. Eso Es. 🖤

#EsoEs #LocalToGlobal #AustraliaCoffee #Watch",,Image Needed,Brand,"Map or expansion graphic. Local pins radiating outward. Bold brand statement overlay."
