post_num,date,time,day_slot,platform,product,category,title,caption,hashtags,image_prompt,canva_template,status,scheduled_url,posted_url
1,2026-07-01,09:00 AEST,,"Instagram, Facebook, LinkedIn",All Products,Brand Story,Launch Post,"Eso Es is live.

Most small businesses don't have a marketing problem.

They have leaks.

Leaking leads because people can't find them.
Leaking bookings because they miss calls.
Leaking repeat customers because nobody follows up.
Leaking time because everything lives in the owner's head.

So I built Eso Es as a practical local business OS.

Ripple gets them calling.
Gotcha catches the call.
Frother keeps them coming back.
WSUP gets the business out of the owner's head.

Built for local businesses that need practical systems, not another agency invoice.

DM ""LEAK"" if you want me to tell you where your business is leaking first.

esoes.com.au",#esoes #smallbusiness #localbusiness #australianbusiness #leakplugged #missedcalls #loyalty #googlevisibility #SOPs,"Bold retro-comic social graphic for Eso Es. Cream background, heavy black typography, yellow CTA button, thick black borders, red and cyan accents, terminal/system motif. Main text: ""STOP THE LEAK."" Subtext: ""Ripple. Gotcha. Frother. WSUP."" CTA button: ""DM LEAK"". Style: retro comic book meets business OS.",ESO-ES-BRAND-01,Draft,,
10,2026-07-14,09:00 AEST,,"Instagram, Facebook",Brand,Pain Point,Painful Truth,"A lot of small businesses are not underperforming because the owner is lazy.

They're underperforming because the owner is the system.

The owner remembers.
The owner follows up.
The owner trains.
The owner fixes mistakes.
The owner knows where everything is.

That works until it doesn't.

Eso Es helps turn owner knowledge into practical workflows, automations, SOPs, and follow-up systems.

DM ""SYSTEM"" if your business is held together by memory and caffeine.",#esoes #smallbusiness #localbusiness #australianbusiness #businesssystems #ownerlife #burnout #SOPs,"Dramatic graphic. Headline: ""THE OWNER IS THE SYSTEM."" Subtext: ""That works until it doesn't."" Split visual: left side shows single person with arrows pointing everywhere; right side shows clean organised system. Bold cream/black/yellow, editorial feel.",ESO-ES-BRAND-01,Draft,,
11,2026-07-15,09:00 AEST,,"Instagram, Facebook, LinkedIn",Brand,Audience,Local Businesses,"Built for local operators.

Tradies.
Cafes.
Salons.
Clinics.
Mechanics.
Venues.
Small teams.

Not enterprise software.
Not Silicon Valley theatre.
Not ""book a discovery call so we can talk at you for 45 minutes.""

Eso Es is practical systems for businesses that need less chaos and more customers.

DM ""LOCAL"" if you want an Ops Check.",#esoes #smallbusiness #localbusiness #australianbusiness #tradies #cafes #salons #clinics #mechanics,"Grid graphic. Headline: ""BUILT FOR LOCAL OPERATORS."" 6 tiles, each with an icon and label: Tradies (wrench), Cafes (coffee), Salons (scissors), Clinics (cross), Mechanics (spanner), Venues (music note). Bold cream/black/yellow, no corporate polish.",ESO-ES-BRAND-01,Draft,,
12,2026-07-16,09:00 AEST,,"Instagram, Facebook",Brand,Pain Point,Bookings Leak,"You don't lose bookings all at once.

You lose them quietly.

One missed call.
One slow reply.
One bad Google listing.
One unanswered review.
One customer who forgot you existed.
One staff member who did the process differently again.

That's how money leaks out.

Eso Es plugs those leaks.

DM ""BOOKINGS"" if you want the first leak found.",#esoes #smallbusiness #localbusiness #missedcalls #bookings #leakplugged #googlemybusiness #reviews,"Leak-motif graphic. Headline: ""BOOKINGS DON'T VANISH. THEY LEAK."" Dripping water droplet icons beside: missed call, Google listing, review, follow-up, staff process. Red/black leak visual. Cream background, thick borders.",ESO-ES-BRAND-01,Draft,,
13,2026-07-17,09:00 AEST,,"Instagram, Facebook, LinkedIn",All Products,Brand Story,Simple Explanation,"Eso Es does four things:

Ripple gets them calling.
Gotcha catches the call.
Frother keeps them coming back.
WSUP gets the business out of your head.

That's it.

Find customers.
Catch customers.
Keep customers.
Systemise the business.

Simple because simple is what actually gets used.

DM ""LEAK"" if you want to know which one you need first.",#esoes #smallbusiness #localbusiness #australianbusiness #leakplugged #ripple #gotcha #frother #wsup,"Four-card product graphic. Each card has its product colour: Ripple (cyan), Gotcha (red), Frother (green), WSUP (purple). Cards show: ""GET FOUND"", ""CATCH THE CALL"", ""KEEP REGULARS"", ""SYSTEMISE"". Headline: ""FOUR THINGS. THAT'S IT."" Bold, clean, retro comic style.",ESO-ES-BRAND-01,Draft,,
14,2026-07-18,09:00 AEST,,"Instagram, Facebook",WSUP,Offer,WSUP Offer,"New offer:

WSUP Starter SOP Pack.

For local businesses where everything is stuck in the owner's head.

You get:

3 core SOPs
1 staff checklist
1 customer response template
1 simple handover doc
A cleaner way to train your team

From $497.

DM ""WSUP"" and I'll tell you which 3 SOPs I'd build first for your business.",#wsup #esoes #SOPs #smallbusiness #businesssystems #stafftraining #procedures #offer #localbusiness,"Offer card. Headline: ""WSUP STARTER SOP PACK."" Large price tag: ""From $497"". Bullet checklist: 3 SOPs, checklist, response template, handover doc. Purple accent, operations-board feel, cream background, yellow CTA button.",ESO-ES-WSUP-01,Draft,,
16,2026-07-22,09:00 AEST,,"Instagram, Facebook",Ripple,Offer,Ripple Offer,"New offer:

Ripple Local Visibility Cleanup.

For businesses that rely on Google, reviews, repeat customers, and local search but have no real system behind it.

Ripple helps clean up:

Visibility
Reviews
Promos
Follow-up
Local lead flow

DM ""RIPPLE"" if your business should be easier to find.",#ripple #esoes #googlemybusiness #localSEO #reviews #getfound #smallbusiness #localbusiness #offer,"Offer card. Headline: ""RIPPLE LOCAL VISIBILITY CLEANUP."" Cyan/cream/black. Google map pin, review stars, promo megaphone icons. Checklist: Visibility, Reviews, Promos, Follow-up, Lead flow. Subtext: ""Get found. Get followed up. Get the customer.""",ESO-ES-RIPPLE-01,Draft,,
17,2026-07-23,09:00 AEST,,"Instagram, Facebook",Frother,Offer,Frother Offer,"New offer:

Frother for venues.

Digital loyalty and promos for cafes, pubs, restaurants, takeaways, and local hospitality.

No paper stamp cards.
No app download.
No ""please scan this QR code and create an account with your birth certificate"" nonsense.

Tap in.
Stack stamps.
Froth on.

DM ""FROTHER"" if you want regulars back more often.",#frother #esoes #loyalty #cafes #hospitality #localvenue #regulars #digitalstamps #offer,"Offer card. Headline: ""FROTHER FOR VENUES."" Green accent, warm cream background. Show digital loyalty card with coffee stamp icons filling up. Cross out: paper card, app download. Bold: ""TAP IN. STACK STAMPS. FROTH ON."" Inviting, local, warm.",ESO-ES-FROTHER-01,Draft,,
18,2026-07-24,09:00 AEST,,"Instagram, Facebook",Brand,Pain Point,Accountant-Style Leak,"Every leak has a cost.

Missed call? Lost booking.
Weak Google profile? Lost discovery.
No review system? Lost trust.
No follow-up? Lost repeat customer.
No SOPs? Lost time.

You don't always need more leads.
Sometimes you need to stop losing the ones already there.

DM ""LEAK"" and I'll help find the first one.",#esoes #smallbusiness #localbusiness #australianbusiness #leakplugged #missedcalls #reviews #businesssystems,"Receipt/invoice-style graphic. Headline: ""EVERY LEAK HAS A COST."" Formatted like a business receipt: line items with costs: ""Missed call = Lost booking"", ""Weak Google = Lost discovery"", ""No reviews = Lost trust"", ""No SOPs = Lost time"". Total line: ""Plug the leaks."" Cream/black/red/yellow.",ESO-ES-BRAND-01,Draft,,
19,2026-07-25,09:00 AEST,,"Instagram, Facebook",Brand,Offer,Soft Sell,"I'm opening a small number of Eso Es Ops Checks before the end of the month.

It's for local businesses that feel messy behind the scenes.

The goal is simple:

Find what's leaking.
Pick the first fix.
Keep it practical.
Avoid bloated agency nonsense.

DM ""CHECK"" if you want one.",#esoes #smallbusiness #localbusiness #australianbusiness #opscheck #leakplugged #limitedoffer,"Booking-style limited offer graphic. Headline: ""OPS CHECKS OPEN."" Limited slots visual (3 of 5 filled circles). Subtext: ""Find the leak. Pick the fix."" Yellow CTA button. Clean, cream/black, appointment card aesthetic.",ESO-ES-BRAND-01,Draft,,
20,2026-07-28,09:00 AEST,,"Instagram, Facebook",Brand,Before/After,Before/After,"Before Eso Es:

Missed calls.
Random follow-up.
No review rhythm.
Dead Google posts.
Staff asking the same questions.
Owner doing everything from memory.

After Eso Es:

Calls caught.
Customers followed up.
Reviews requested.
Promos planned.
Processes documented.
Owner slightly less cooked.

That's the game.

DM ""FIX"" if you want the first leak plugged.",#esoes #smallbusiness #localbusiness #australianbusiness #beforeandafter #businesssystems #leakplugged,"Split before/after graphic. Left side (chaos): red crossed items — missed calls, random follow-up, no reviews, memory-only. Right side (fixed): green ticked items — caught, followed up, reviewed, documented. Arrow dividing line. Headline: ""BEFORE → AFTER."" Bold Eso Es style.",ESO-ES-BRAND-01,Draft,,
21,2026-07-29,09:00 AEST,,"Instagram, Facebook",Brand,Industry,For Tradies,"Tradies lose money in boring ways.

Not because they're bad at the work.

Because:

Calls get missed.
Quotes don't get followed up.
Google profiles go stale.
Reviews don't get requested.
Everything lives in the owner's head.

Eso Es fixes the admin and customer flow around the work.

DM ""TRADIE"" if you want the leaks found.",#esoes #tradies #smallbusiness #localbusiness #australianbusiness #plumber #electrician #builder #leakplugged,"Tradie-focused graphic. Hard-hat/tools visual motif. Headline: ""TRADIES: STOP LEAKING JOBS."" Bullet points with icons: missed calls, quote follow-up, stale Google, no reviews. Bold, honest, no-fluff. Cream/black/yellow, construction/trades feel.",ESO-ES-BRAND-01,Draft,,
22,2026-07-30,09:00 AEST,,"Instagram, Facebook",Frother,Industry,For Cafes and Venues,"Cafes and venues don't just need more customers.

They need more regulars.

They need:

Better local visibility.
Better promos.
Better loyalty.
Better staff systems.
Better follow-up.
Less chaos.

Eso Es helps plug the leaks from first visit to repeat visit.

DM ""VENUE"" if your venue needs a cleaner customer system.",#frother #esoes #cafes #hospitality #localvenue #regulars #loyalty #smallbusiness #australianbusiness,"Cafe/venue graphic. Warm green and cream tones. Show: loyalty card with stamps, staff checklist on clipboard, promo chalkboard. Headline: ""MORE REGULARS. LESS CHAOS."" Community, warm, practical. Local hospitality vibe without corporate polish.",ESO-ES-FROTHER-01,Draft,,
23,2026-07-31,09:00 AEST,,"Instagram, Facebook",All Products,Industry,For Salons,"Salons leak money when:

Calls get missed.
Bookings are slow to confirm.
Reviews aren't requested.
Clients forget to rebook.
Staff do things differently.
Promos are random.

Eso Es helps clean that up.

Ripple gets found.
Gotcha catches missed calls.
Frother-style promos bring people back.
WSUP documents how the business runs.

DM ""SALON"" if you want an Ops Check.",#esoes #salons #beauty #smallbusiness #localbusiness #australianbusiness #bookings #leakplugged #hairsalon,"Salon-focused graphic. Red/cyan/purple accents, cream background. Appointment calendar visual with booking alerts. Headline: ""SALONS: STOP LEAKING BOOKINGS."" Four product icons (Ripple, Gotcha, Frother, WSUP) each solving a different salon problem. Bold, clean.",ESO-ES-BRAND-01,Draft,,
24,2026-08-01,09:00 AEST,,"Instagram, Facebook, LinkedIn",Brand,Brand Voice,No Dashboard Post,"Small business owners do not need another dashboard they'll forget to open.

They need systems that quietly do useful work.

Catch missed calls.
Request reviews.
Create follow-up.
Document procedures.
Bring regulars back.

That's the point of Eso Es.

Less software theatre.
More boring useful stuff.

DM ""USEFUL"" if that sounds like your kind of thing.",#esoes #smallbusiness #localbusiness #australianbusiness #nofluff #practicalops #businesssystems #nodashboard,"Terminal-style graphic. Dark background, green text. Headline: ""NO MORE DASHBOARD THEATRE."" Show a fake overcomplicated dashboard with a red X, then a clean simple checklist with a green tick. Subtext: ""Just useful systems that plug leaks."" Anti-SaaS energy.",ESO-ES-BRAND-01,Draft,,
26,2026-08-05,09:00 AEST,,"Instagram, Facebook",All Products,Urgency,Urgency,"If you want your business cleaner by next month, don't wait until next month.

Pick one leak now.

Missed calls? Start with Gotcha.
Weak local visibility? Start with Ripple.
No loyalty/repeat customer system? Start with Frother.
Everything stuck in your head? Start with WSUP.

DM the one you need:

GOTCHA
RIPPLE
FROTHER
WSUP",#esoes #smallbusiness #localbusiness #australianbusiness #leakplugged #ripple #gotcha #frother #wsup,"Four-option decision graphic. Headline: ""PICK YOUR LEAK."" Four bold cards arranged 2x2: Missed Calls → GOTCHA (red), Weak Visibility → RIPPLE (cyan), No Loyalty → FROTHER (green), Systems Chaos → WSUP (purple). Each has a clear arrow. Urgent, decisive.",ESO-ES-BRAND-01,Draft,,
27,2026-08-06,09:00 AEST,,"Instagram, Facebook, LinkedIn",Brand,Educational,Mini Audit,"Quick self-audit:

Can customers find you easily on Google?
Do missed calls get an instant reply?
Do you ask for reviews consistently?
Do customers get followed up?
Do you have a loyalty system?
Can staff find procedures without asking you?
Could the business run for a week without your brain?

If you said no more than twice, you have leaks.

DM ""AUDIT"" and I'll tell you where I'd start.",#esoes #smallbusiness #localbusiness #australianbusiness #audit #leakplugged #businesscheck #practicalops,"Checklist graphic. Headline: ""QUICK LEAK AUDIT."" 7 checklist items with tick/cross boxes. Style: clipboard or notepad, cream/black. Items are readable. Bottom line: ""Said NO more than twice? You have leaks."" CTA: ""DM AUDIT."" Bold, honest, direct.",ESO-ES-BRAND-01,Draft,,
28,2026-08-07,09:00 AEST,,"Instagram, Facebook",Brand,Offer,Scarcity,"I'm taking on a small batch of local business system cleanups before the end of the month.

This is not a massive agency retainer.

It's practical cleanup:

Missed calls
Google visibility
Follow-up
Loyalty
SOPs
Staff systems
Workflow mess

If your business is leaking time or customers, DM ""CHECK"".

I'll tell you if I can help.",#esoes #smallbusiness #localbusiness #australianbusiness #limitedoffer #opscheck #leakplugged #practicalops,"Limited-slots offer graphic. Headline: ""OPS CHECKS OPEN THIS MONTH."" Show 5 slots with 3 filled (urgency). Checklist of what gets cleaned up. Yellow CTA button. Subtext: ""Small batch. Practical cleanup. No agency nonsense."" Cream/black/yellow.",ESO-ES-BRAND-01,Draft,,
29,2026-08-08,09:00 AEST,,"Instagram, Facebook",All Products,Offer,Direct Sales,"Need one of these fixed?

Missed calls
Weak Google presence
No review system
No loyalty system
No staff procedures
Too much owner brain dependency

Eso Es can help.

Starter offers available before end of month:

WSUP Starter SOP Pack
Gotcha Missed Call Recovery
Ripple Local Visibility Cleanup
Frother Loyalty Setup

DM ""START"" and tell me what's leaking.",#esoes #smallbusiness #localbusiness #australianbusiness #leakplugged #ripple #gotcha #frother #wsup,"Product menu graphic. Headline: ""WHAT'S LEAKING?"" Four bold offer tiles: Ripple (cyan), Gotcha (red), Frother (green), WSUP (purple). Each with short description. Cream background, black borders. DM ""START"" CTA. Urgent end-of-month energy.",ESO-ES-BRAND-01,Draft,,
30,2026-08-11,09:00 AEST,,"Instagram, Facebook, LinkedIn",Brand,Brand Story,End of Month Push,"Before the end of the month, I want to help a handful of local businesses plug their biggest leak.

Not 47 things.
Not a giant strategy deck.
One painful leak first.

Missed calls.
Weak visibility.
No follow-up.
No loyalty.
No systems.
Owner doing everything from memory.

Eso Es exists for that.

DM ""LEAK"" and I'll tell you the first thing I'd fix.",#esoes #smallbusiness #localbusiness #australianbusiness #leakplugged #endofmonth #onefix #practicalops,"Campaign graphic. Headline: ""ONE LEAK FIRST."" Circled/underlined for emphasis. Subtext list: Missed calls. Visibility. Follow-up. Loyalty. Systems. Bold yellow CTA: ""DM LEAK"". End-of-month urgency, clean editorial, cream/black/yellow.",ESO-ES-BRAND-01,Draft,,
